thumbnail,data_formatada
https://scontent-gru2-2.cdninstagram.com/v/t51.2885-15/307816362_142671745138768_6816063114092614245_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=ImtVAxsxKj0AX_irX2Q&_nc_ht=scontent-gru2-2.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AT-qaWOnhkUgUQdSY7cwcvVYlCEDcrLO2qfHS4qEK0hNSw&oe=63306C2D,20220921
https://scontent-gru1-2.cdninstagram.com/v/t51.29350-15/307958734_392699519709114_4133151677205188948_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=MDC4y7TYAc8AX_9uQmM&_nc_ht=scontent-gru1-2.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AT9HFhMxsTDYX9qm5jxIXfLeZkH0zDJCtcyWIXHg846uSg&oe=632EA8CA,20220920
https://scontent-gru2-1.cdninstagram.com/v/t51.29350-15/307794040_160192016682827_8092666382551890813_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=xIiW_Bp_eeMAX9sb-HA&_nc_ht=scontent-gru2-1.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AT9v2saQIzj3OUg_3k__a_Y81Y7DTJURTZ2CdYRZxHbK6Q&oe=632E8DDC,20220920
https://scontent-gru1-1.cdninstagram.com/v/t51.29350-15/307755629_1436643016820492_2015276519320036901_n.webp?stp=dst-jpg&_nc_cat=101&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=vB3YhgXi78YAX-0DZin&_nc_ht=scontent-gru1-1.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AT-F8QdooAQoTWlkyPQbrq5_jx8fttJ0poBNoiTt6MRlAQ&oe=6330E95E,20220921
https://video-gru1-1.cdninstagram.com/v/t50.33967-16/307991090_459735006188471_5691875136790947837_n.mp4?_nc_cat=110&vs=605257084426076_1248043589&_nc_vs=HBksFQAYJEdES1NXeEszRTd4bElLSUJBUDFuVGJKSG12MU9icV9FQUFBRhUAAsgBABUAGCRHSV9UV0JLcTZUSUQwWk1CQUVLZnVMTmdteXdxYnFfRUFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACaU2Nnu35WPQBUCKAJDMywXQC4YEGJN0vIYEmRhc2hfYmFzZWxpbmVfMV92MREAdQAA&ccb=1-7&_nc_sid=59939d&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5jbGlwcyJ9&_nc_ohc=--Pu5yaftx0AX9oEV1W&_nc_ht=video-gru1-1.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AT9PoA5HZ1uRBu-qHk8dGH70EoPBpBQetaTiiNUHNsg5eA&oe=632AACAE&_nc_rid=d0e39aff11,20220920
https://scontent-gru1-2.cdninstagram.com/v/t51.29350-15/308011272_759793258650493_5096389592816672988_n.webp?stp=dst-jpg&_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=g6EsCIVJf2UAX_TTNom&_nc_ht=scontent-gru1-2.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AT-XU3g9JLRxzk4Bo62VvYLNLM70L26QALMVknpB8AB1NA&oe=63303795,20220921
https://video-gru2-2.cdninstagram.com/v/t50.33967-16/306745152_658759262116148_6824460455681269002_n.mp4?_nc_cat=102&vs=776688240283965_3767325155&_nc_vs=HBksFQAYJEdFQ1BTQkkwbWM5WEkxY0NBQW9kbFh5Z1dyVmVicV9FQUFBRhUAAsgBABUAGCRHTkp2VWhMNmVSMmFKaEFDQUY3Yk1IaHpkd2tHYnFfRUFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACbshObB%2FMTkQBUCKAJDMywXQDgOVgQYk3UYEmRhc2hfYmFzZWxpbmVfMV92MREAdQAA&ccb=1-7&_nc_sid=59939d&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5jbGlwcyJ9&_nc_ohc=yNWkAHBVPowAX9IkdzU&_nc_ht=video-gru2-2.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AT-R-kLIAoDXAxXoWt1-poHsNe6A2SYYvXf-uqB2tbtBNQ&oe=632B2ADA&_nc_rid=d5a7da5e36,20220921
https://video-gru2-2.cdninstagram.com/v/t50.33967-16/306745152_658759262116148_6824460455681269002_n.mp4?_nc_cat=102&vs=776688240283965_3767325155&_nc_vs=HBksFQAYJEdFQ1BTQkkwbWM5WEkxY0NBQW9kbFh5Z1dyVmVicV9FQUFBRhUAAsgBABUAGCRHTkp2VWhMNmVSMmFKaEFDQUY3Yk1IaHpkd2tHYnFfRUFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACbshObB%2FMTkQBUCKAJDMywXQDgOVgQYk3UYEmRhc2hfYmFzZWxpbmVfMV92MREAdQAA&ccb=1-7&_nc_sid=59939d&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5jbGlwcyJ9&_nc_ohc=yNWkAHBVPowAX9IkdzU&_nc_ht=video-gru2-2.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AT-R-kLIAoDXAxXoWt1-poHsNe6A2SYYvXf-uqB2tbtBNQ&oe=632B2ADA&_nc_rid=d5a7da5e36,20220921
https://scontent-gig2-1.cdninstagram.com/v/t51.29350-15/307633777_188579310320342_4783546356487057034_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=1IbR1yMtGfYAX9CldOy&_nc_ht=scontent-gig2-1.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AT_qH0O_zZmg-r02tw0aUOSyE-K9Kno8HZcsuzCJYYNHFQ&oe=632FF8E4,20220920
https://video-gru1-1.cdninstagram.com/v/t50.33967-16/307184732_766377907921879_3268588035328601048_n.mp4?_nc_cat=110&vs=807915620410919_3361629344&_nc_vs=HBksFQAYJEdGeEVUeExYSS1kQ0JMa0NBTmhyMmhxQVcxd3RicV9FQUFBRhUAAsgBABUAGCRHRHM0WXhKemhKekxMTWNCQU1rYUduMFkzRllNYnFfRUFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACb6p%2BnEmrnUPxUCKAJDMywXQEhqn752yLQYEmRhc2hfYmFzZWxpbmVfMV92MREAdQAA&ccb=1-7&_nc_sid=59939d&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjk2MC5jbGlwcyJ9&_nc_ohc=B6TUSLy1jt4AX_npz4x&_nc_ht=video-gru1-1.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AT939GnOtXOH-gJIGKM7HRdyLx8rn6d0YPZuDHQE1SUlng&oe=632C2D33&_nc_rid=ac9a8fb635,20220921
https://video-gru2-2.cdninstagram.com/v/t50.33967-16/10000000_159785786666855_4345754365798422731_n.mp4?_nc_cat=105&vs=625967765588429_3851216469&_nc_vs=HBksFQAYJEdJQ1dtQUJuN3cwSFU1RUFBTXVZaENhU09FODhicV9FQUFBRhUAAsgBABUAGCRHRWlDV1JMVjlIbGlmc0VCQUlUUmY4VFg1dms0YnFfRUFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACbokOzJmIeMQRUCKAJDMywXQE4ZmZmZmZoYEmRhc2hfYmFzZWxpbmVfMV92MREAdQAA&ccb=1-7&_nc_sid=59939d&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5jbGlwcyJ9&_nc_ohc=e2R27BfSB18AX_7rmCe&_nc_ht=video-gru2-2.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AT_N3rlvpRAnL5N3TEwJU3Zq8TcHJwm0fiJC2kFnvs3BkA&oe=632BD652&_nc_rid=140067e618,20220921
